Time,Time Code,Country Name,Country Code,Renewable energy consumption (% of total final energy consumption) [EG.FEC.RNEW.ZS],Energy related methane emissions (% of total) [EN.ATM.METH.EG.ZS],Fossil fuel energy consumption (% of total) [EG.USE.COMM.FO.ZS],"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP) [EG.USE.COMM.GD.PP.KD]",Investment in energy with private participation (current US$) [IE.PPI.ENGY.CD],Methane emissions in energy sector (thousand metric tons of CO2 equivalent) [EN.ATM.METH.EG.KT.CE],Nitrous oxide emissions in energy sector (% of total) [EN.ATM.NOXE.EG.ZS],Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent) [EN.ATM.NOXE.EG.KT.CE],Public private partnerships investment in energy (current US$) [IE.PPN.ENGY.CD],"Electricity production from renewable sources, excluding hydroelectric (% of total) [EG.ELC.RNWX.ZS]",Combustible renewables and waste (% of total energy) [EG.USE.CRNW.ZS],Electricity production from hydroelectric sources (% of total) [EG.ELC.HYRO.ZS],Electricity production from nuclear sources (% of total) [EG.ELC.NUCL.ZS],"Electricity production from oil, gas and coal sources (% of total) [EG.ELC.FOSL.ZS]","Electricity production from renewable sources, excluding hydroelectric (kWh) [EG.ELC.RNWX.KH]",Renewable electricity output (% of total electricity output) [EG.ELC.RNEW.ZS],Renewable internal freshwater resources per capita (cubic meters) [ER.H2O.INTR.PC],"Renewable internal freshwater resources, total (billion cubic meters) [ER.H2O.INTR.K3]",Alternative and nuclear energy (% of total energy use) [EG.USE.COMM.CL.ZS],Energy use (kg of oil equivalent per capita) [EG.USE.PCAP.KG.OE],GDP per unit of energy use (PPP $ per kg of oil equivalent) [EG.GDP.PUSE.KO.PP],"Energy imports, net (% of energy use) [EG.IMP.CONS.ZS]"
2020,YR2020,European Union,EUU,21.121106310957,..,..,..,..,50002.322057,..,25424.669819,..,..,..,..,..,..,..,..,3037.22099853333,1359.7405,..,..,..,..
2020,YR2020,Albania,ALB,44.58,..,..,..,..,59.515016,..,60.2,..,..,..,..,..,..,..,..,9479.0103349403,26.9,..,..,..,..
2020,YR2020,Andorra,AND,21.86,..,..,..,..,0,..,0,..,..,..,..,..,..,..,..,4061.77606177606,0.3156,..,..,..,..
2020,YR2020,Armenia,ARM,8.38,..,..,..,..,968.993782,..,47.6,..,..,..,..,..,..,..,..,2444.74637939441,6.859,..,..,..,..
2020,YR2020,Austria,AUT,35.77,..,..,..,..,1079.310803,..,769.505391,..,..,..,..,..,..,..,..,6168.08779409443,55,..,..,..,..
2020,YR2020,Azerbaijan,AZE,1.23,..,..,..,..,8196.1,..,156.4,..,..,..,..,..,..,..,..,804.012950999002,8.115,..,..,..,..
2020,YR2020,Belarus,BLR,8.39,..,..,..,..,1419.892563,..,353.100008,..,..,..,..,..,..,..,..,3624.7520243174,34,..,..,..,..
2020,YR2020,Belgium,BEL,12.28,..,..,..,..,1023.94229,..,716.77731,..,..,..,..,..,..,..,..,1039.9871596252,12,..,..,..,..
2020,YR2020,Bosnia and Herzegovina,BIH,37.71,..,..,..,78780000,1110.51507,..,187.6,78780000,..,..,..,..,..,..,..,10697.9041449708,35.5,..,..,..,..
2020,YR2020,Bulgaria,BGR,21.08,..,..,..,..,1415.36868,..,339.663473,..,..,..,..,..,..,..,..,3028.54839512173,21,..,..,..,..
2020,YR2020,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
